authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Jakšić-Stojanović A., Janković M., Šerić N.",Montenegro as a high-quality health tourism destination: Trends and Perspectives,2019,"African Journal of Hospitality, Tourism and Leisure",Article,0,"Faculty of Visual Art, University Mediterranean Vice - Rector for International Cooperation University Mediterranean, Josipa Broza bb, Podgorica, 81000, Montenegro; Faculty of Economics and Business, University Mediterranean, Josipa Broza bb, Podgorica, 81000, Montenegro; Product Management, Logistic and Branding in Tourism, Faculty of Economics, University of Split, Cvite Fiskovića 5, Split, 21 000, Croatia",Destination; Health; Health tourism; Medicine; Montenegro,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067821603&partnerID=40&md5=75052319681056777cddc4443f7c0f21
"Odmell C., Mamimine P.W., Kudakwashe C.",Methodological complexities in the study of health tourism: A study of the appropriation of indigenous herbal sexual stimulants and fertility enhancers in Zimbabwe (A review paper),2019,Cogent Social Sciences,Review,0,"Department of Hospitality and Tourism, Chinhoyi University of Technology, Chinhoyi, Zimbabwe",appropriation; health tourism; hidden populations; indigenous fertility enhancers; ingenious sexual stimulants; Methodological complexities,10.1080/23311886.2019.1607435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067203267&doi=10.1080%2f23311886.2019.1607435&partnerID=40&md5=097939675be243d251a2ba5c31137fbf
"Jackson C., Snyder J., Crooks V.A., Lavergne M.R.","Exploring isolation, self-directed care and extensive follow-up: factors heightening the health and safety risks of bariatric surgery abroad among Canadian medical tourists",2019,International Journal of Qualitative Studies on Health and Well-being,Article,0,"Faculty of Health Sciences, Simon Fraser University, Burnaby, BC, Canada; Department of Geography, Simon Fraser University, Burnaby, BC, Canada",bariatric surgery; Canada; challenges; Medical tourism; risk,10.1080/17482631.2019.1613874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065774569&doi=10.1080%2f17482631.2019.1613874&partnerID=40&md5=a4c26df74afcef8e1ea1af299c3739b2
"Beena K.S., Venkatrama Raju D.",Bangalore as a medical tourist destination challenges and prospects,2019,International Journal of Mechanical Engineering and Technology,Article,0,"Department of Tourism and Hospitality Management, Bharath University, Agaram main road, Chennai, Tami Nadu  600 073, India; Dept of Management Studies, Bharath University, Selaiyur, Chennai, 600 073, India",Affordable Healthcare; Medical Tourism; Medical Tourists; Surgical Care,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060955274&partnerID=40&md5=a76b4a5b6e82af8110b47a86d92763ec
"Guba D.V., Voronov Y.S.",Educational potential of health tourism,2019,Teoriya i Praktika Fizicheskoy Kultury,Editorial,0,"Russian State University of Physical Education, Sports, Youth and Tourism (SCOLIPE), Moscow, Russian Federation; Smolensk State Academy of Physical Culture, Sports and Tourism, Smolensk, Russian Federation",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060443840&partnerID=40&md5=8fe2e9d334d024afa8410c2a340c070a
"Kosova L.S., L'Gotina L.P., Filandysheva L.B., Lozhkina M.B., Shulgina E.M.",The Contemporary Condition and Trends of Medical Tourism Development in Tomsk Region,2018,IOP Conference Series: Earth and Environmental Science,Conference Paper,0,"Department of Local History and Tourism, Faculty of Geology and Geography, National Research Tomsk State University, Lenin Avenue, 36, Tomsk, 634050, Russian Federation",healing areas; medical tourism; mineral water; resort resources; therapeutic mud,10.1088/1755-1315/204/1/012019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059614144&doi=10.1088%2f1755-1315%2f204%2f1%2f012019&partnerID=40&md5=4b93929ec640ceb0ecce2091af1860e1
"Chakraborty P., Poddar M.",Medical Tourism Opportunities in India: A Study on the Multispecialty Hospitals of Kolkata,2018,Journal of Health Management,Article,0,"Management, JIS University, Kolkata, India; JIS University, Kolkata, India",brand promotion; hospital marketing; Medical tourism; patient retention; qualitative,10.1177/0972063418799228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056583882&doi=10.1177%2f0972063418799228&partnerID=40&md5=cf9f08f680d6785cc47dfa9e20e4068e
"Ruggeri K., Ivanović N., Razum J., Kácha O., Menezes I.G., Zafari Z., Garcia-Garzon E.",An evidence-based policy for improving choice in global health access through medical travel,2018,Health Policy,Article,0,"Department of Health Policy and Management, Mailman School of Public Health, Columbia University, New York, United States; Policy Research Group, University of Cambridge, United Kingdom; Faculty of Humanities and Social Sciences, University of Zagreb, Croatia; Department of Psychology, Faculty of Humanities and Social Sciences, University of Zagreb, Croatia; Faculty of Arts, Masaryk University, Czech Republic; Predictive Psychometrics Laboratory, University of Lincoln, United Kingdom; Department of Pharmaceutical Health Services Research, University of Maryland School of Pharmacy, Baltimore, United States; Department of Social Psychology and Methodology Department, Psychology Faculty, Universidad Autónoma de Madrid, Spain",Evidence-based policy; Global health policy; Health economics; Medical tourism; Medical travel,10.1016/j.healthpol.2018.09.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054767344&doi=10.1016%2fj.healthpol.2018.09.017&partnerID=40&md5=217e813ed0d9b91c6494de404502f412
"Wilde C., Ross A.R., Maharajan S.",Health tourism and the need for occasional strong paternalism: complications and management of cosmetic anterior chamber iris implantation,2018,Eye (Basingstoke),Letter,0,"Ophthalmology and Vision Sciences, Division of Clinical Neurosciences, B Floor, EENT Centre, Queen’s Medical Centre, University of Nottingham, Nottingham, United Kingdom",NA,10.1038/s41433-018-0200-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053072618&doi=10.1038%2fs41433-018-0200-6&partnerID=40&md5=4cb9dad0fe45e2f08fb63e32b6f27672
"Savaşan A., Yalvaç M., Uzunboylu H., Tuncel E.","The attitudes of education, tourism and health sector managers in Northern Cyprus towards Education on Health Tourism",2018,Quality and Quantity,Review,0,"Department of Educational Administration, Supervision, Planning and Economics, Atatürk Faculty of Education, Near East University, Nicosia, Cyprus; Department of Nutrition and Dietetics, Faculty of Health Sciences, Near East University, Nicosia, Cyprus; Atatürk Faculty of Education, Near East University, Nicosia, Cyprus",Education on health tourism; Health tourism; Health tourism management; Health tourism managers; Northern Cyprus; The attitudes towards Education on Health Tourism scale,10.1007/s11135-017-0612-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031493762&doi=10.1007%2fs11135-017-0612-6&partnerID=40&md5=03762cdd0669aa4e78fc5350a430ed99
"Rydback M., Hyder A.S.",Customization in medical tourism in the Philippines,2018,International Journal of Pharmaceutical and Healthcare Marketing,Article,0,"Department of Business and Economics Studies, University of Gävle, Gävle, Sweden; School of Social Sciences, Södertörn University, Huddinge, Sweden; Department of Business and Economics Studies, University of Gävle, Gävle, Sweden",Emerging market; Health care; International patients; Knowledge asymmetry; Medical tourism; Service marketing,10.1108/IJPHM-07-2017-0035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056134689&doi=10.1108%2fIJPHM-07-2017-0035&partnerID=40&md5=64d1aa1f4508f6c6f8a520badfc0d0ce
"Mitsi D., Kostopoulou E., Agraniotis M., Fradelos E.C.",The marketing of health services: The example of medical tourism,2018,Archives of Hellenic Medicine,Article,0,"“Elpis” General Hospital of Athens, Athens, Greece; “Korgialenio Benakio HRC” General Hospital of Athens, Athens, Greece; Athens, Greece; Psychiatric Department, “Sotiria” General Hospital for Chest Diseases, Athens, Greece",Health services; Marketing of health services; Medical tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057279409&partnerID=40&md5=b2064c286672b3c1abed01af869e2244
"Roy D.G., Battacharya S., Mukherjee S.",Qualitative explorations into customer based brand equity (CBBE) for medical tourism in India,2018,Qualitative Report,Article,0,"Indian Institute of Technology (VGSOM), Kharagpur, India",Content analysis; Culture; Customer based brand equity scale; Infrastructure; Medical tourism; Qualitative analysis,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055743492&partnerID=40&md5=a3ec595a6ea27d0004924025e0d5065e
"Beena K.S., Venkatramana Raju D.",Factor leads medical tourists to choose Chennai hospitals as medical tourism destination,2018,International Journal of Mechanical and Production Engineering Research and Development,Article,0,"Department Tourism and Hospitality Management, Bharath Institute of Higher Education and Research, Chennai, Tamil Nadu, India; Department of Commerce, Bharath Institute of Higher Education and Research, Chennai, Tamil Nadu, India",Chennai; Health tourism; Medical tourism; Wellness tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060452060&partnerID=40&md5=a61adcbf6a97a52cc820e747c055515b
"Hashemi S., Tavangar M., Marzuki A., Shahvali M.","Effects of perceived quality and trust on behavioural intentions: An empirical study of health tourists in Mashhad, Iran",2018,"Tourism in Iran: Challenges, Development and Issues",Book Chapter,0,"Department of Urban and Regional Planning, School of Housing, Building and Planning, Universiti Sains Malaysia, George Town, Malaysia; Institute for Tourism Research (ACECR), Department of Geography and Urban Planning, Shahid Chamran University of Ahvaz, Iran; College of Health and Human Development, Department of Recreation, Park and Tourism Management, Pennsylvania State UniversityPA, United States",NA,10.4324/9781315146409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059707663&doi=10.4324%2f9781315146409&partnerID=40&md5=c7b674e6d46c95bd8981d59156daa8e8
Kressing F.,Aspects of intercultural differences in the context of international medical tourism [Aspekte kultureller Differenz im internationalen Medizintourismus],2018,Ethik in der Medizin,Article,0,"Institut für Geschichte, Theorie und Ethik der Medizin, Universität Ulm, Parkstr. 11, Ulm, 89073, Germany",Commercialization of complementary and alternative (folk) medicine; Health inequities; Indigenous knowledge; Indigenous property rights; Medical travel; Spatial transfer and outsourcing of health care,10.1007/s00481-018-0498-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050234927&doi=10.1007%2fs00481-018-0498-4&partnerID=40&md5=d000b1c1e4a4ee3f9803daebe3434414
"Dubrey S.W., Murphy L., Dobbin J., Boutros S.",Health tourism and the NHS: a personal view,2018,"British journal of hospital medicine (London, England : 2005)",Letter,0,Consultant Cardiologist Department of Cardiology The Hillingdon Hospital Hillingdon Hospitals NHS Foundation Trust Uxbridge Middlesex UB8 3NN; Foundation Doctor Centre for Primary Care and Public Health Barts Health NHS Trust London EC1A 7BE; Foundation Doctor Centre for Primary Care and Public Health Barts Health NHS Trust London; Paediatric Registrar Paediatric Intensive Care Unit Great Ormond Street Children's Hospital London,NA,10.12968/hmed.2018.79.8.476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064890509&doi=10.12968%2fhmed.2018.79.8.476&partnerID=40&md5=ff31ae6dda553d841ea3accd79a03510
[No author name available],How the medical-tourism business thrives,2018,Economist (United Kingdom),Article,0,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050621483&partnerID=40&md5=15a20e5b4b58b477dae7f07c1d62d40f
"Afshar Y., Tabsh K.",Pregnancy and subsequent uterine rupture in a 72-year-old gravida: medical tourism versus procreative freedom,2018,Journal of Obstetrics and Gynaecology,Article,0,"David Geffen School of Medicine, Department of Obstetrics and Gynecology, UCLA, Los Angeles, CA, United States",NA,10.1080/01443615.2017.1379968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041582212&doi=10.1080%2f01443615.2017.1379968&partnerID=40&md5=d66fb1b411f1776f50901a64c65ca4f5
"Lee J., Kim T.-Y., Shin J.-S., Lee J., Kim H.-N., Lee Y.J., Kim M.-R., Ahn Y.-J., Park K.B., Kim K.H., Suhr K., Ha I.-H.",Korean and conventional medicine tourism industry trends as indicated in medical tourism advertisement images: qualitative research using data from medical Korea 2015,2018,Asia Pacific Journal of Tourism Research,Article,0,"Department of Korean Medicine, School of Korean Medicine, Pusan National University, Yangsan, South Korea; Jaseng Hospital of Korean Medicine, Seoul, South Korea; Jaseng Spine and Joint Research Institute, Jaseng Medical Foundation, Seoul, South Korea; Department of Preventive Medicine, College of Korean Medicine, Woosuk University, Wanju-gun, South Korea; Prevention Sciences, Rollins School of Public Health, Emory University, Atlanta, GA, United States",advertisement; conventional allopathic medicine; image; medical tourism; service quality; SERVQUAL; South Korea; thematic content analysis; tourism marketing; traditional Korean medicine,10.1080/10941665.2018.1487459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049229546&doi=10.1080%2f10941665.2018.1487459&partnerID=40&md5=3cf5412cb1d0f8a59e3a43c78a16f8d9
"Jedeejit P., Chernbumroong S., Tongpaeng Y.",The Exploration of Competency Situation in Wellness Tourism in Chiangmai Thailand,2018,"6th Global Wireless Summit, GWS 2018",Conference Paper,0,"College of Arts, Media and Technology, Chiang Mai University, Chiang Mai Province, Thailand; College of Arts, Media and Technology Chiang Mai University, Knowledge and Innovation Laboratory (KIRLY), Chiang Mai Province, Thailand",competency; knowledge management; wellness,10.1109/GWS.2018.8686579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064733745&doi=10.1109%2fGWS.2018.8686579&partnerID=40&md5=57274589773e407b417556e9f89d6354
Kim M.-S.,Theoretical approaches in the medical tourism field: A comparative study from an eclectic perspective,2018,Asia Life Sciences,Article,0,"Faculty of Economics and Commerce, Keimyung University, 1095, Dalseo-Gu, Daegu, 704-701, South Korea",Contextual fit; Cultural familiarity; Eclectic approach; Imitative isomorphism; National image; SERVQUAL model,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054595042&partnerID=40&md5=11b0ed46950d5a5a84c316b0df563736
"Jing F., Lim C.-K.",Advancement strategies toward the chinese market in korean medical tourism industry,2018,Asia Life Sciences,Article,0,"Department of Business Administration, Tongmyong University, Busan, South Korea; Department of Distribution Management, Tongmyong University, Busan, South Korea",Advancement strategy; Chinese medical market; Medical service; Medical tourism industry; Wellness tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054583107&partnerID=40&md5=a5820c9f467f08ac50ceb99dd5cd4510
"Poljanec-Borić S., Wertag A., Carić H.","The perception of ecosystem services in public sector domains of health, tourism and environment protection in Croatia [Percepcija ekosistemskih usluga u institucijama javnog zdravstva, turizma i zaštite okoliša u Hrvatskoj]",2018,Sociologija i Prostor,Article,0,"Institute of Social Sciences Ivo Pilar, Zagreb, Croatia; Institute for Tourism, Zagreb, Croatia",Ecosystem services; Environment; Governance; Nature; Policy; Public health; Tourism,10.5673/sip.56.2.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048758232&doi=10.5673%2fsip.56.2.2&partnerID=40&md5=ca364e46c127944a077698403e1a4d14
"Hung Y.-H., Chou J.C.-L., Ma J., Lin C.-P.",Opportunity recognition for small businesses in medical tourism in Taiwan,2018,MATEC Web of Conferences,Conference Paper,0,"Department of Information Management, Hwa-Hsia Institute of Technology, Taiwan",NA,10.1051/matecconf/201816901024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048254801&doi=10.1051%2fmatecconf%2f201816901024&partnerID=40&md5=223d35ce9dc3861ef4aaaf5b21108cf1
"Nakayama M., Chen C., Ractham P.",Medical tourism for cosmetic procedures: Credibility assessment of service providers via online health forums,2018,Handbook of Research on Emerging Perspectives on Healthcare Information Systems and Informatics,Book Chapter,0,"University of California, Los Angeles, United States; Department of Computer Information Systems and Supply Chain Management, Appalachian State University, United States; Department of Management Information System, Thammasat Business School, Thammasat University, Bangkok, Thailand",NA,10.4018/978-1-5225-5460-8.ch022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050320682&doi=10.4018%2f978-1-5225-5460-8.ch022&partnerID=40&md5=55656859463e37853546cfc43cd910ab
"Ahmed M., Sudi A., Bello A., Lawal A.T., Awaisu M., Maitama H.Y.",Managing the sequelae of urology medical tourism: A single center experience,2018,The Nigerian postgraduate medical journal,Article,0,"Division of Urology, Department of Surgery, Ahmadu Bello University/Ahmadu Bello University Teaching Hospital, Zaria, Nigeria",Complications; indications; medical tourism; motivations; urological sequelae,10.4103/npmj.npmj_54_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063669936&doi=10.4103%2fnpmj.npmj_54_18&partnerID=40&md5=d9883b1f6078d2e886665ca9f80e89df
"Suzana M., Walls H., Smith R., Hanefeld J.",Evaluation of public subsidy for medical travel: Does it protect against household impoverishment?,2018,International Journal for Equity in Health,Article,0,"Faculty of Health Sciences, Maldives National University, Handhuvaree Higun, Malé, Maldives; Department of Global Health and Development, London School of Hygiene and Tropical Medicine, Keppel street, London, WC1E 7HT, United Kingdom",NA,10.1186/s12939-018-0726-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043231004&doi=10.1186%2fs12939-018-0726-z&partnerID=40&md5=9fe77ef3502ed2cc2d369b4ff4260ac8
Costanza F.,Governing patients' mobility to pursue public value: A system dynamic approach to improve healthcare performance management,2018,Handbook of Research on Modernization and Accountability in Public Sector Management,Book Chapter,0,"University of Palermo, Italy",NA,10.4018/978-1-5225-3731-1.ch013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047366327&doi=10.4018%2f978-1-5225-3731-1.ch013&partnerID=40&md5=c03fab110046d506deef5e40eb64c721
"Al-Shamsi H.O., Al-Hajeili M., Alrawi S.",Chasing the cure around the globe: Medical tourism for cancer care from developing countries,2018,Journal of Global Oncology,Letter,0,"Alzahra Private Hospital, Dubai, United Arab Emirates; King Abdulaziz University, Jeddah, Saudi Arabia; University of Sharjah, College of Medicine, United Arab Emirates",NA,10.1200/JGO.17.00087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060558744&doi=10.1200%2fJGO.17.00087&partnerID=40&md5=83eaef756a91e66e2c4c7f6b40520a91
"Adabi K., Garfein E.S., Tepper O.M.",Reply: Population health implications of medical tourism,2018,Plastic and Reconstructive Surgery,Letter,0,"Montefiore Medical Center, Albert Einstein College of Medicine, 1250 Waters Place Tower Two, Bronx, NY  10461, United States",NA,10.1097/PRS.0000000000004160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044309695&doi=10.1097%2fPRS.0000000000004160&partnerID=40&md5=26abf6a77f9de299d5c57c45bb18de43
"Eltorai A.E.M., Garimella R.",Orthopaedic medical tourism,2018,Musculoskeletal Care,Article,0,"Warren Alpert Medical School of Brown University, Providence, RI, United States",NA,10.1002/msc.1220,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043238761&doi=10.1002%2fmsc.1220&partnerID=40&md5=9c38075543c35a51d7e966d672a48c07
Pongwat A.,An investigation of tourism information on destination management organization websites as the pull factor: A case study of health and wellness tourism information,2018,"International Conference on Software, Knowledge Information, Industrial Management and Applications, SKIMA",Conference Paper,0,"Chiang Mai University, Thailand",destination management organization; pull factor; tourism information broker; tourism motivation; website content,10.1109/SKIMA.2017.8294121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054243764&doi=10.1109%2fSKIMA.2017.8294121&partnerID=40&md5=9bc5c1dd584e5f72f41161a0fea183ce
"Rokni L., Park S.-H.",Trend of medical tourism publications: An attempt to explore the involved academic disciplines and interests,2018,Iranian Journal of Public Health,Article,0,"Asia Contents Institute, Konkuk University, Seoul, South Korea",Academic categories; Health travel; ISCED; Medical tourism; Publication trend,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041558304&partnerID=40&md5=cec022994b1665d2cf2a67f6cc0a87f2
Plianbangchang S.,A view on medical care globalization and medical tourism,2018,Journal of Health Research,Note,0,"College of Public Health Sciences, Chulalongkorn University, Bangkok, Thailand",Economic globalization; Health globalization; Health tourism; Wellness tourism,10.1108/JHR-11-2017-008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074964699&doi=10.1108%2fJHR-11-2017-008&partnerID=40&md5=9284541a569a5edd188672f75c585682
Migliaccio M.,Thermal spas and their role in wellness tourism: An Italian Overview,2018,"African Journal of Hospitality, Tourism and Leisure",Article,0,"Department DEMM, University of Sannio, Via Delle Puglie, 82, Benevento, 82100, Italy",Health; Italy; Knowledge; Thermal spas; Wellness tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068816283&partnerID=40&md5=53bcaab908b30a3d060d5881f2b268d6
"Šuligoj M., Kavrečič P.",The beginnings of organized development of health tourism in the princely county of gorizia and gradisca [Začetki organiziranega razvoja zdravstvenega turizma v pokneženi grofiji goriško-gradiški],2018,Zgodovinski Casopis,Article,0,"University of Primorska, Faculty of Tourism Studies – Turistica, Obala 11a, Portorož-Portorose, SI-6320, Slovenia; University of Primorska, Faculty of Humanities, Titov trg 5, Koper-Capodistria, SI-6000, Slovenia",Grado; Health tourism; Health-related tourist destinations; Special interest tourism; The Princely County of Gorizia and Gradisca,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063484588&partnerID=40&md5=5d9b8badda6f8482b82de32368146f27
"Borg E.A., Ljungbo K.",International market-oriented strategies for medical tourism destinations,2018,International Journal of Market Research,Article,0,"Sodertorn University, Sweden",Destination branding; Internationalization; Interpretative research; Market orientation; Medical tourism,10.1177/1470785318770134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063445899&doi=10.1177%2f1470785318770134&partnerID=40&md5=8317cfcd5ba2c35be51dd4ebf9d7b1f8
"Timana H., Kama N., Mohd Yusoff R.C., Selamat A.",Social media for medical and health information: Malaysian medical tourism hospital,2018,Frontiers in Artificial Intelligence and Applications,Conference Paper,0,"Advanced Informatics School, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia; Hazila Timan, Advanced Informatics School, Universiti Teknologi Malaysia Kuala Lumpur, Jalan Sultan Yahya Petra (Jalan Semarak), Kuala Lumpur, 54100, Malaysia",Medical and health information; Medical informatics; Medical tourism; Medical tourism hospital; Social media,10.3233/978-1-61499-900-3-143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063398511&doi=10.3233%2f978-1-61499-900-3-143&partnerID=40&md5=3cd221f54a2fb00170c7ea212c44cdb9
"Castellano M.I., Bittar O., Janne S.",New medical tourism business for the hotel in barranquilla sector model [Turismo médico nuevo modelo de negocio para el sector hotelero en barranquilla],2018,"Proceedings of the 32nd International Business Information Management Association Conference, IBIMA 2018 - Vision 2020: Sustainable Economic Development and Application of Innovation Management from Regional expansion to Global Growth",Conference Paper,0,"Universidad del Norte, Barranquilla, Colombia; Investigadora Independiente, Maracaibo, Venezuela; Universidad Simón Bolívar, Barranquilla, Colombia",Hospitality; Medical tourism companies,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063053621&partnerID=40&md5=a5041aed6521f3c24561149e962b4bd7
"Libkovska U., Muiznieks A., Bikse V., Lusena-Ezera I.",Water resources for medical tourism development in Latvia,2018,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",Conference Paper,0,"Ventspils University College, Latvia; Liepaja University, Latvia",Balneology; Health resort; Medical tourism; Water treatments,10.5593/sgem2018/3.1/S12.103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058884914&doi=10.5593%2fsgem2018%2f3.1%2fS12.103&partnerID=40&md5=aaeddb7461503d6291745d60d22f6ef7
"Davoust E., Pastor G.C., Seghiri M.",Translating the discourse of medical tourism: A catalogue of resources and corpus for translators and researchers,2018,SKASE Journal of Translation and Interpretation,Article,0,"Translation and Interpreting Department, University of Malaga (UMA), Spain",Electronic documentation; Medical tourism; Specialised translation; Web for corpus; Website translation,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058819195&partnerID=40&md5=d0e1cd555f0dcbdbb0fdf1d420907590
Nikitina O.A.,Finding out shared expert opinion on the development of inbound medical tourism: The case of Russia,2018,European Research Studies Journal,Article,0,"Saint-Petersburg State University of Economics, Saint-Petersburg, Russian Federation",Delphi method.; Inbound medical tourism; Medical tourism; Models of medical tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058241750&partnerID=40&md5=c728f825c20b0622eff1888f2cfdafa6
"Gengan W., Xiangmin Z., Yuping W.",Medical tourism and nursing under the background of globalization,2018,Journal of Advanced Oxidation Technologies,Article,0,"College of Tourism, HuaQiao University, Quanzhou, Fujian, 362021, China; Research Center for Tourism and Service Management, HuaQiao University, Quanzhou, Fujian, 362021, China",Globalization; Influencing Factors; Medical Tourism; Nursing; Probit Model,10.26802/jaots.2018.12089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051345332&doi=10.26802%2fjaots.2018.12089&partnerID=40&md5=140824abc6cd2b0b7f37059a289bd367
"Baimyrzayev K.M., Andasbayev Y.S., Tokpanov E.A.",The value of the hydro resources of Lake Zhalanashkol for the development of health tourism and recreation in the Republic of Kazakhstan,2018,Espacios,Article,0,"Academic of KAO n.a. Altinsarin, The Rector of Zhetysu state University n. a. I. Zhansugurov, Taldykorgan, Kazakhstan; Zhetysu state University named after I. Zhansugurov, Kazakhstan; Department of natural Sciences of Zhetysu state University n. a. I. Zhansugurov, Kazakhstan",Balneology; Health tourism; Lake Zhalanashkol; Minerals,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050772135&partnerID=40&md5=bcc2ea66bdd7a6728bc7bcecd91cbd85
"George B., Henthorne T.L.",Cross-cultural competence as a basis of the competitive advantage of the United States in medical tourism,2018,Critical Essays in Tourism Research,Book Chapter,0,"Fort Hays State UniversityKS, United States; University of Nevada Las VegasNV, United States",Competitive advantage; Cross-cultural competence; Medical tourism; United States,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048385475&partnerID=40&md5=6e189b19c95775ba526f572071c3adf2
"Omer Tontus H., Nebioglu S.",Drivers of healthcare globalisation and their effects on medical tourism,2018,e-Review of Tourism Research,Article,0,"Public Hospitals Administration of Turkey, Emergency Health Services and Foreign Health Departments, Ministry of Health, Bilkent Kampus, Ankara, Turkey; Public Hospitals Administration of Turkey, Healthcare Services Department, Ministry of Health, Bilkent Kampus, Ankara, Turkey",Drivers; Factors; Globalisation; Medical tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047978302&partnerID=40&md5=b8ddde83eb7c625b53ae9a4a4f99c60d
"Verulava T., Jorbenadze R.",Medical tourism in Georgia: Current barriers and recommendations,2018,Malaysian Journal of Public Health Medicine,Article,0,"Health Policy and Insurance Institute, School of Business, Ilia State University, Tbilisi, Georgia; G. Chapidze Emergency Cardiology Center, Tbilisi, Georgia",Customer satisfaction; Georgia; Health services; Hospital; Medical tourism; Service quality,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046890710&partnerID=40&md5=194ab1a62cf55fc0f0e5daa9bd02b2da
Kirkner R.M.,"Medical tourism: Once ready for takeoff, now stuck at the gate",2018,Managed Care,Article,0,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044721173&partnerID=40&md5=b11171bec8c6d2dcd330e8a5f82fd6c9
"Bouzaabia O., Bouzaabia R., Mejri K.",Role of internet in the development of medical tourism service in Tunisia,2018,"Digital Marketing and Consumer Engagement: Concepts, Methodologies, Tools, and Applications",Book Chapter,0,"University of Gabes, Tunisia; University of Sousse, Tunisia; IHEC Sousse, Tunisia",NA,10.4018/978-1-5225-5187-4.ch044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041632441&doi=10.4018%2f978-1-5225-5187-4.ch044&partnerID=40&md5=f34618ad43bfc6c0d75ef221fbec3a38
"Choi W.A., Kim H., Lee S.-C.",Word-of-mouth in medical tourism: The major determinant for emirati patients to visit Korea,2018,Korean Journal of Internal Medicine,Letter,0,"Department of Hispanic Language and Literature, Seoul National University, Seoul, South Korea; International Health Services, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, South Korea; Heart, Vascular and Stroke Institute, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, South Korea",Emirati patients; Medical tourism; Word-of-mouth,10.3904/kjim.2015.182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040921397&doi=10.3904%2fkjim.2015.182&partnerID=40&md5=0d2612bafb99faedfceb71d7957045da
